"title","idshop","price","detail","berat","gambar","category"
"Showcase RSA 3 Pintu AMETHYST-1300Ltr-Bergaransi Resmi","2546142","12999000"," SPESIFIKASI Showcase RSA Cooler 3 Pintu AMETHYST Volume L 1300 Temp oC 4 8 Daya 785 W Refrigerant R134a Rak 15 Dimensi P x Lx T mm 1600 x 680 x 2000 mm Berat 138 kg ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_fce84667-bc87-42b4-a550-f42ea15c0a58_700_700.jpg","Kulkas & Cooler Box "
"Showcase RSA 2 Pintu JADE-860Ltr-Bergaransi Resmi","2546142","9890000"," Spesifikasi Dimensi 1062 x 680 x 2000 mm Volume 860 Liter Rak 6 Daya 630watt Garansi service 1 tahun ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_bebb77c6-75fc-4966-9c99-2c948893aa7b_700_700.jpg","Kulkas & Cooler Box "
"Showcase RSA 2 Pintu OPAL-575Ltr-Bergaransi Resmi","2546142","7899000"," RSA OPALAdjustable shelfKaca 2 lapis Low E untuk menghindari kaca dari embunInterior lightInternal fan untuk suhu dingin yang cepat merataSuhu 4 8 Derajat CelciusDimensi 95 X 62 5 X 188 CMKapasitas 575 LiterDaya 450 WattBerat 78 KG ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_ba05054e-b88a-4b63-88f7-19425c07c552_700_700.jpg","Kulkas & Cooler Box "
"Showcase RSA Vision 220-200Ltr-No Frost(Tanpa Bunga Es)","2546142","2779000"," Rsa Showcase CoolerModel Type Vision 220No FrostKapasitas 200 LiterDaya Listrik 180 WattDimensi P 520 x L 505 x T 1590 Mm4 RakBerat Unit 53 KgFeaturesNo FrostKipas Pendingin BesarAgar Pendingin MerataKaca Tidak BerembunLampu Internal Daya TarikVoltage 170 220 VThermostat AnalogRefrigerant R 134aRamah LingkunganRoda Kaki Dan Rak Bisa DiaturGaransi Resmi Rsa ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_175287d7-96e2-46e4-bd71-366ffd17e85a_600_540.jpg","Kulkas & Cooler Box "
"Showcase RSA Vision 200-180Ltr-No Frost(Tidak bunga es)","2546142","2679000"," Keunggulan Kipas pendingin besar agar pendinginan merataKaca tidak berembunLampu internal daya tarik produk yang dipajangKompresor beroperasi pada tegangan 170V 220VThermostat analogR 134a ramah lingkunganRoda kaki dan rak bisa diaturRak design terbaru botol tidak mudah tergelincirKaca pintu berlapis duaSpesifikasi Dimensi P x L x T 520 x 505 x 1490 mmVolume 180 LTemperatur 4C 8CDaya Listrik 168 WRefrigerant R134aRak 4Berat 50 kg ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_7947c786-89fd-460d-9791-3404a76f2058_600_540.jpg","Kulkas & Cooler Box "
"Pemanggang Getra 6 Burner BBQ Gas ET-K333-Khusus GoJem","2546142","1939000"," Aneka Utama Indah menjual BBQ Burner Mesin ini berfungsi untuk memanggang sate otak otak steak lain lain Ketinggian mesin ini dapat diatur sesuai dengan kebutuhan kita SPESIFIKASI 6 BIG BURNER BBQ GAS TIPE ET K333 Dimensi 80x58x18 cm Bahan bakar LPG Power Consumtion 6x26 000 BTU ","12","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_f04b3ea3-d637-4544-9641-1c7538013a42_499_435.jpg","Griller "
"Pemanggang Getra 6 Burner BBQ Gas ET-K233-Khusus Gojek","2546142","1299000"," menjual BBQ Burner Mesin ini berfungsi untuk memanggang sate otak otak steak lain lain Ketinggian mesin ini dapat diatur sesuai dengan kebutuhan kita Kami menjual beberapa BBQ Burner yaitu 1 6 RBURNER BBQ GAS TIPE ET K 233 Dimensi Panjang tiap burner 16 5 cm Bahan bakar LPG Power Consumtion 6x 20 000 ","9","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_2f33585a-0b63-42cd-9b35-64b00cafc67c_700_700.jpg","Griller "
"Pemanggang Getra 4 Burner BBQ Gas ET-K222-Khusus GoJek","2546142","936000"," KHUSUS PENGIRIMAN GO SEND Pemanggang daging sangat cocok untuk ikan bakar steak sate otak otak dll Sangat ekonomis dan mudah dioperasikan semudah mengunakan kompor rumahan Kompor pemanggang sosis mesin pemanggang sosis tanpa ini cocok untuk membakar sate sosis ikan jagung dan ini menggunakan bahan bakar gas hemat bahan bakar tidak menimbulkan asap mudah digunakan dan mudah dibersihkan Mesin ini dilengkapi dengan Cover glass sehingga apabila ada bumbu yang jatuh maka tidak langsung mengenai bagian tungku bara api Pada bagian bawah juga dilengkapi dengan nampan yang berfungsi untuk menampung bumbu yang jatuh kebawahSpeksifikasi Dimensi Mesin 58x40x18cmBerat 9kg ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_680c4e21-6c62-444d-8f24-85f18e50dc86_700_700.jpg","Griller "
"Pemanggang Getra 2 Burner BBQ Gas ET-K111-Khusus GoJek","2546142","679000"," Alat Pemanggang dengan bahan bakar gas LPG ini cocok digunakan untuk memanggang ikan ayam sate otak otak jagung dll SPESIFIKASI Merk GETRATipe ET K111Jumlah tungku 2Power 2 x 20 000 BTUDimensi 33 x 40 x 18 cmKeuntungan memakai Alat pemanggang LPG merk GETRA Memakai QUART GLASS COVER yaitu cover tutup tahan panas yang higienis dan mudah dibersihkan Ketinggian panggangan dapat diatur ","6","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_d265fcd4-1832-4bac-9ca8-b08d6f368717_700_487.jpg","Kompor "
"Showcase Sanken SRS-228BK-220Ltr-handle door- Pembuka botol-Lowwat","2546142","2949000"," Detail Kapasitas 220 Liter Highlight Produk Big Capacity Bottle Opener Easy Whell with Lock Handle LED Light Lock Door Strong Shelf Garansi resmi Sanken ","8","https://ecs7.tokopedia.net/img/cache/300/product-1/2017/9/30/0/0_13dca148-c3c4-412d-83e7-60f3fec56bbb_700_700.jpg","Kulkas & Cooler Box "
